bus_id,placa,linha,position,data,speed,sentido,trajeto,hodometro,direcao
44717,KWW8818,18,"-22.919874, -43.607744",1686020567000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],8226.799, 
12704,LSM8778,20,"-22.920368, -43.607281",1686218434000,0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],21199.9, 
47004,KQK7904,13,"-23.004157, -43.56276",1690405522000,0,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],49744.3,284
27205,LSL9114,18,"-22.919765, -43.608465",1688274121000,0,ida,18 - RECREIO SHOPPING X JARDIM OCEÂNICO (EXPRESSO) [IDA],4823.1, 
47012,KPZ8364,0,"-23.020283, -43.501376",1690405612000,35.8,,,55213.3,285
47015,LRH8891,10,"-22.919456, -43.607191",1681849544000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),12489.7, 
86885,LTB5540,29,"-23.000434, -43.578445",1690403862000,23.5,volta,29 - ALVORADA X S. ALLENDE (PARADOR) [VOLTA],514861.3,284
13414,KPY9731,25,"-22.919539, -43.607846",1686886318000,0,ida,25 -  MATO ALTO X ALVORADA (PARAD0R) [IDA],8259.2, 
13425,KRL4070,19,"-23.01247, -43.458914",1690405506000,0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],1201.6, 
12738,KRR2404,18,"-23.00675, -43.312502",1690405604000,0,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],37658.5, 
30502,LQT9173,19,"-22.919615, -43.608327",1685235953000,0,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],21983.5, 
86886,LTB5541,14,"-23.001319, -43.574628",1690405602000,0,volta,14 - SALVADOR ALLENDE x SANTA EUGÊNIA (EXPRESSO) [VOLTA],13229.9, 
47032,KXE8654,25,"-23.01589, -43.519666",1686624152000,59.6,ida,25 - MATO ALTO X ALVORADA (PARADOR) [IDA],23120.5, 
13428,KXE7712,12,"-23.00038, -43.39012",1690405596000,7.1,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],57983.4,274
47006,KWZ8630,18,"-23.007854, -43.441761",1690405603000,35.3,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],51006.5,254
KXE9191 PKP,KXE9191,0,"-23.000652, -43.363645",1690402807000,0,,,2627.9, 
47007,LSP6018,13,"-22.991717, -43.599079",1690405603000,0,ida,13 - MATO ALTO X ALVORADA (EXPRESSO) [IDA],42356.3,263
13413,KWI9711,13,"-23.01541, -43.52245",1690405523000,30.8,volta,13 - ALVORADA X  MATO ALTO (EXPRESSO) [VOLTA],43754.7,266
90001,KPZ5E15,12,"-23.010277, -43.45118",1690405598000,0.2,volta,12 - ALVORADA X PINGO D'AGUA (EXPRESSO) [VOLTA],44444.3,256
901057,,22,"-23.006913, -43.311718",1690405614000,9.4,volta,22 - J. OCEÂNICO X ALVORADA (PARADOR) [VOLTA],51303.4,78
901003,RKM8C54,40,"-22.877613, -43.336898",1690404198000,0,ida,40 - PAULO DA PORTELA X ALVORADA (EXPRESSO) [IDA],22910.7, 
86874,KQB4102,20,"-22.917931, -43.684297",1690405606000,0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],512981.2, 
86879,LTN5696,20,"-22.920265, -43.608182",1690405608000,0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],2058.699, 
90003,KYN7F36,10,"-23.015612, -43.471214",1690405604000,0,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],19182.2,82
12711,LSO1629,10,"-22.919951, -43.607173",1678905395000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),4511.1, 
86809,LQH9072,0,"-22.920239, -43.608033",1690402860000,0,,,7406.7,166
47011,LRH8889,10,"-22.997458, -43.590953",1690405577000,0,volta,10 - ALVORADA X SANTA CRUZ (EXPRESSO) [VOLTA],39783.8,285
47009,KPZ8430,18,"-23.000236, -43.384866",1690405610000,35.1,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],54326.2,269
47014,KZI4452,25,"-23.000083, -43.400242",1690405601000,51.6,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],38253.1,272
30537,KXE7720,18,"-23.006816, -43.313198",1690405601000,0,volta,18 - JARDIM OCEÂNICO X RECREIO SHOPPING (EXPRESSO) [VOLTA],51643.7, 
50301,KPP5B70,19,"-22.96587, -43.646486",1690404399000,2.7,ida,19 - PINGO D'AGUA X SALVADOR ALLENDE (EXPRESSO) [IDA],4027.4,89
47005,LSV5862,0,"-22.920488, -43.608226",1690045260000,0,,,42896.4, 
47018,LRS2843,25,"-23.019507, -43.487199",1690405605000,0,volta,25 - ALVORADA X MATO ALTO (PARADOR) [VOLTA],33210.6,246
30536,KXE7721,10,"-22.920297, -43.60846",1685827570000,0,ida,10- SANTA CRUZ X ALVORADA ( EXPRESSO ),13477.3, 
44713,KPZ3559,19,"-23.004821, -43.559835",1690405594000,0,volta,19 - SALVADOR ALLENDE X PINGO D'AGUA (EXPRESSO) [VOLTA],29757.5,280
13401,KQO7822,0,"-23.015815, -43.51776",1690405599000,41.9,,,53787.6,280
47021,KRM7686,20,"-22.919605, -43.607079",1686513160000,0,ida,20 - SANTA CRUZ X SALVADOR ALLENDE (EXPRESSO) [IDA],24792.3, 
